event,frame,time_stamp,level,video_id
goomba killed,23097,06:24,1-2,3
jump,23099,06:24,1-2,3
coinblock hit,23140,06:25,1-2,3
fire flower,23164,06:26,1-2,3
jump,23167,06:26,1-2,3
coinblock hit,23188,06:26,1-2,3
jump,23241,06:27,1-2,3
coinblock hit,23284,06:28,1-2,3
jump,23330,06:28,1-2,3
jump,23398,06:29,1-2,3
jump,23498,06:31,1-2,3
jump,23584,06:33,1-2,3
jump,23644,06:34,1-2,3
jump,23704,06:35,1-2,3
coinblock hit,23744,06:35,1-2,3
jump,23775,06:36,1-2,3
jump,23835,06:37,1-2,3
jump,23904,06:38,1-2,3
jump,23964,06:39,1-2,3
jump,24065,06:41,1-2,3
jump,24178,06:42,1-2,3
koopa killed,24256,06:44,1-2,3
koopa killed,24371,06:46,1-2,3
jump,24392,06:46,1-2,3
coinblock hit,24397,06:46,1-2,3
jump,24452,06:47,1-2,3
jump,24583,06:49,1-2,3
jump,24643,06:50,1-2,3
koopa killed,24646,06:50,1-2,3
jump,24703,06:51,1-2,3
jump,24776,06:52,1-2,3
jump,24836,06:53,1-2,3
koopa killed,25081,06:58,1-2,3
goomba killed,25257,07:00,1-2,3
goomba killed,25319,07:01,1-2,3
jump,25320,07:02,1-2,3
jump,25381,07:03,1-2,3
koopa killed,25386,07:03,1-2,3
jump,25441,07:04,1-2,3
jump,25503,07:05,1-2,3
koopa killed,25516,07:05,1-2,3
jump,25566,07:06,1-2,3
jump,25682,07:08,1-2,3
koopa killed,25692,07:08,1-2,3
goomba killed,25846,07:10,1-2,3
goomba killed,25932,07:12,1-2,3
goomba killed,25998,07:13,1-2,3
jump,26061,07:14,1-2,3
jump,26147,07:15,1-2,3
jump,26257,07:17,1-2,3
goomba killed,26297,07:18,1-2,3
jump,26330,07:18,1-2,3
goomba killed,26357,07:19,1-2,3
jump,26395,07:19,1-2,3
jump,26458,07:20,1-2,3
jump,26518,07:21,1-2,3
jump,26578,07:22,1-2,3
jump,26741,07:25,1-2,3
jump,26801,07:26,1-2,3
goomba killed,26944,07:29,1-2,3
goomba killed,27005,07:30,1-2,3
jump,27039,07:30,1-2,3
jump,27099,07:31,1-2,3
jump,27203,07:33,1-2,3
jump,27263,07:34,1-2,3
jump,27343,07:35,1-2,3
jump,27404,07:36,1-2,3
jump,27464,07:37,1-2,3
jump,27741,07:42,1-2,3
jump,27801,07:43,1-2,3
jump,27861,07:44,1-2,3
jump,27921,07:45,1-2,3
jump,27985,07:46,1-2,3
jump,28147,07:49,1-2,3
jump,29098,08:04,1-3,3
jump,29158,08:05,1-3,3
jump,29301,08:08,1-3,3
jump,29406,08:10,1-3,3
jump,29467,08:11,1-3,3
jump,29549,08:12,1-3,3
jump,29610,08:13,1-3,3
goomba killed,29747,08:15,1-3,3
goomba killed,29808,08:16,1-3,3
jump,29867,08:17,1-3,3
goomba killed,29868,08:17,1-3,3
jump,29948,08:19,1-3,3
jump,30051,08:20,1-3,3
jump,30111,08:21,1-3,3
jump,30171,08:22,1-3,3
jump,30253,08:24,1-3,3
jump,30313,08:25,1-3,3
jump,30861,08:34,1-3,3
jump,30982,08:36,1-3,3
jump,31080,08:38,1-3,3
jump,31140,08:39,1-3,3
jump,31200,08:40,1-3,3
jump,31415,08:43,1-3,3
goomba killed,31466,08:44,1-3,3
jump,31480,08:44,1-3,3
jump,31549,08:45,1-3,3
jump,31620,08:47,1-3,3
jump,31688,08:48,1-3,3
jump,31785,08:49,1-3,3
jump,31846,08:50,1-3,3
jump,31914,08:51,1-3,3
jump,32053,08:54,1-3,3
jump,32113,08:55,1-3,3
mushroom,32137,08:55,1-3,3
jump,32289,08:58,1-3,3
jump,32349,08:59,1-3,3
jump,32548,09:02,1-3,3
jump,32667,09:04,1-3,3
jump,32790,09:06,1-3,3
jump,32853,09:07,1-3,3
jump,32917,09:08,1-3,3
jump,32979,09:09,1-3,3
jump,33039,09:10,1-3,3
jump,33164,09:12,1-3,3
jump,33224,09:13,1-3,3
jump,33785,09:23,1-3,3
jump,33905,09:25,1-3,3
jump,33966,09:26,1-3,3
jump,34058,09:27,1-3,3
jump,34262,09:31,1-3,3
jump,34323,09:32,1-3,3
jump,34972,09:42,1-3,3
jump,35040,09:44,1-3,3
jump,35102,09:45,1-3,3
jump,35213,09:46,1-3,3
jump,35313,09:48,1-3,3
jump,35373,09:49,1-3,3
jump,35445,09:50,1-3,3
